Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
projet de loi approbation de l'avenant à la convention du 21 juillet 1959 avec l'Allemagne en vue d'éviter les doubles impositions et d'établir des règles d'assistance administrative et juridique réciproque en matière d'impôts sur le revenu et sur la fortune;projet de loi;21/10/2015;http://www.senat.fr/dossier-legislatif/pjl15-228.html;promulgué;;;22/12/2015;2015-1716;Affaires étrangères et coopération, Économie et finances, fiscalité, Union européenne
projet de loi autorisant l'approbation du quatrième avenant à la convention avec le Grand-Duché de Luxembourg tendant à éviter les doubles impositions et à établir des règles d'assistance administrative réciproque en matière d'impôts sur le revenu et sur la fortune;projet de loi;01/07/2015;http://www.senat.fr/dossier-legislatif/pjl15-250.html;promulgué;;;22/12/2015;2015-1715;Affaires étrangères et coopération, Économie et finances, fiscalité, Traités et conventions
proposition de loi organique portant dématérialisation du Journal officiel de la République française;proposition de loi organique;30/06/2015;http://www.senat.fr/dossier-legislatif/ppl14-572.html;promulgué;;17/12/2015;22/12/2015;2015-1712;Fonction publique, Justice, Pouvoirs publics et Constitution
proposition de loi portant dématérialisation du Journal officiel de la République française;proposition de loi;30/06/2015;http://www.senat.fr/dossier-legislatif/ppl14-573.html;promulgué;;;22/12/2015;2015-1713;Fonction publique, Justice, Pouvoirs publics et Constitution
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et l'Agence spatiale européenne relatif au Centre spatial guyanais et aux prestations associées;projet de loi;29/02/2012;http://www.senat.fr/dossier-legislatif/pjl11-451.html;promulgué;;;21/12/2015;2015-1705;Affaires étrangères et coopération, Recherche, sciences et techniques, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et l'Organisation internationale pour les migrations portant sur l'exonération fiscale des agents de cette organisation qui résident en France;projet de loi;06/06/2012;http://www.senat.fr/dossier-legislatif/pjl11-581.html;promulgué;;;21/12/2015;2015-1704;Affaires étrangères et coopération, Traités et conventions
projet de loi autorisant l'approbation du protocole additionnel à la convention entre le Gouvernement de la République française et le Gouvernement de la République italienne relative au tunnel routier sous le Mont-Blanc;projet de loi;17/04/2013;http://www.senat.fr/dossier-legislatif/pjl12-518.html;promulgué;;;21/12/2015;2015-1706;Affaires étrangères et coopération, Transports, Union européenne
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement du Canada sur la sécurité sociale;projet de loi;02/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-676.html;promulgué;;;21/12/2015;2015-1707;Affaires étrangères et coopération, Sécurité sociale, Traités et conventions
projet de loi de financement de la sécurité sociale pour 2016;projet de loi de financement de la sécurité sociale;07/10/2015;http://www.senat.fr/dossier-legislatif/plfss2016.html;promulgué;partiellement conforme;17/12/2015;21/12/2015;2015-1702;Économie et finances, fiscalité, Sécurité sociale
proposition de loi visant à pénaliser l'acceptation par un parti politique d'un financement par une personne morale;proposition de loi;09/06/2015;http://www.senat.fr/dossier-legislatif/ppl14-492.html;promulgué;;;21/12/2015;2015-1703;Pouvoirs publics et Constitution
projet de loi autorisant l'approbation de la décision du Conseil du 26 mai 2014 relative au système des ressources propres de l'Union européenne;projet de loi;24/06/2015;http://www.senat.fr/dossier-legislatif/pjl14-552.html;promulgué;;;16/12/2015;2015-1672;Affaires étrangères et coopération, Traités et conventions, Union européenne
