Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
proposition de loi relative à la protection des services de télévision ou de radiodiffusion destinés à un public déterminé;proposition de loi;19/05/1987;http://www.senat.fr/dossier-legislatif/a86870763.html;promulgué;;;10/07/1987;87-520;
projet de loi autorisant l'approbation d'un accord de sécurité sociale entre le gouvernement de la République française et le gouvernement des Etats-Unis d'Amérique;projet de loi;20/05/1987;http://www.senat.fr/dossier-legislatif/a86870778.html;promulgué;;;10/07/1987;87-521;
projet de loi portant diverses mesures relatives au financement de la sécurité sociale;projet de loi;11/06/1987;http://www.senat.fr/dossier-legislatif/a86870840.html;promulgué;;;10/07/1987;87-516;
projet de loi relatif au service national dans la police;projet de loi;11/03/1987;http://www.senat.fr/dossier-legislatif/s86870152.html;promulgué;;;10/07/1987;87-512;
proposition de loi tendant à adapter aux exigences du développement du tourisme certaines dispositions du code des débits de boissons;proposition de loi;16/10/1986;http://www.senat.fr/dossier-legislatif/s86870013.html;promulgué;;;09/07/1987;87-508;
proposition de loi tendant à modifier le régime électoral de la ville de Marseille;proposition de loi;23/04/1987;http://www.senat.fr/dossier-legislatif/s86870200.html;promulgué;conforme;07/07/1987;09/07/1987;87-509;
projet de loi modifiant les procédures fiscales et douanières;projet de loi;17/12/1986;http://www.senat.fr/dossier-legislatif/a86870571.html;promulgué;;;08/07/1987;87-502;
projet de loi relatif à certaines situations résultant des événements d'Afrique du Nord;projet de loi;04/07/1986;http://www.senat.fr/dossier-legislatif/s85860437.html;promulgué;;;08/07/1987;87-503;
proposition de loi transférant le contentieux des décisions du Conseil de la concurrence à la juridiction judiciaire;proposition de loi;14/04/1987;http://www.senat.fr/dossier-legislatif/a86870638.html;promulgué;;;06/07/1987;87-499;
proposition de loi modifiant l'article 815-5, alinéa 2, du code civil relatif à la vente d'un bien grevé d'usufruit;proposition de loi;14/04/1987;http://www.senat.fr/dossier-legislatif/a86870672.html;promulgué;;;06/07/1987;87-498;
projet de loi autorisant l'approbation du protocole additionnel à la convention de 1979 sur la pollution atmosphérique transfrontière à longue distance, relatif au financement à long terme du programme concerté de surveillance continue et d'évaluation du transport à l;projet de loi;08/10/1986;http://www.senat.fr/dossier-legislatif/a86870374.html;promulgué;;;02/07/1987;87-486;
projet de loi autorisant l'approbation d'une convention d'assistance administrative mutuelle en matière de lutte contre la fraude douanière entre le Gouvernement de la République française et le Gouvernement du Burkina Faso;projet de loi;08/10/1986;http://www.senat.fr/dossier-legislatif/a86870375.html;promulgué;;;02/07/1987;87-490;
projet de loi autorisant l'approbation d'une convention relative à la coopération en matière de recherche scientifique et technique entre le Gouvernement de la République française et la Gouvernement du Burkina Faso;projet de loi;12/11/1986;http://www.senat.fr/dossier-legislatif/a86870439.html;promulgué;;;02/07/1987;87-488;
projet de loi autorisant l'approbation d'un accord de coopération en matière économique et financière entre le Gouvernement de la République française et le Gouvernement du Burkina Faso;projet de loi;12/11/1986;http://www.senat.fr/dossier-legislatif/a86870440.html;promulgué;;;02/07/1987;87-489;
projet de loi autorisant l'approbation d'une convention sur la représentation en matière de vente internationale de marchandises;projet de loi;12/11/1986;http://www.senat.fr/dossier-legislatif/a86870441.html;promulgué;;;02/07/1987;87-485;
projet de loi autorisant l'approbation d'un accord de coopération culturelle et technique entre le Gouvernement de la République française et le Gouvernement de la République du Zimbabwe;projet de loi;12/11/1986;http://www.senat.fr/dossier-legislatif/a86870442.html;promulgué;;;02/07/1987;87-487;
proposition de loi organique relative à la situation des magistrats nommés à des fonctions du premier grade;proposition de loi organique;20/05/1987;http://www.senat.fr/dossier-legislatif/s86870234.html;promulgué;conforme;26/06/1987;02/07/1987;87-484;
projet de loi modifiant la loi n° 67-5 du 3 janvier 1967 modifiée portant statut des navires et autres bâtiments de mer;projet de loi;10/12/1986;http://www.senat.fr/dossier-legislatif/s86870106.html;promulgué;;;26/06/1987;87-444;
projet de loi relatif au fonctionnement des établissements pénitentiaires;projet de loi;19/11/1986;http://www.senat.fr/dossier-legislatif/s86870075.html;promulgué;;;22/06/1987;87-432;
projet de loi relatif à la saisie conservatoire des aéronefs;projet de loi;23/01/1987;http://www.senat.fr/dossier-legislatif/s86870143.html;promulgué;;;19/06/1987;87-424;
projet de loi relatif à la durée et à l'aménagement du temps de travail;projet de loi;25/03/1987;http://www.senat.fr/dossier-legislatif/s86870158.html;promulgué;;;19/06/1987;87-423;
projet de loi sur l'épargne;projet de loi;12/11/1986;http://www.senat.fr/dossier-legislatif/a86870443.html;promulgué;;;17/06/1987;87-416;
projet de loi autorisant la ratification du traité entre la République française et le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord concernant la construction et l'exploitation par des sociétés privées concessionnaires d'une liaison fixe transmanche;projet de loi;02/04/1987;http://www.senat.fr/dossier-legislatif/a86870610.html;promulgué;;;15/06/1987;87-383;
projet de loi portant approbation, en tant que de besoin, de la concession concernant la conception, le financement, la construction et l'exploitation d'une liaison fixe à travers la Manche, signée le 14 mars 1986;projet de loi;02/04/1987;http://www.senat.fr/dossier-legislatif/a86870611.html;promulgué;;;15/06/1987;87-384;
projet de loi organisant la consultation des populations intéressées de la Nouvelle-Calédonie et dépendances;projet de loi;02/04/1987;http://www.senat.fr/dossier-legislatif/a86870614.html;promulgué;partiellement conforme;02/06/1987;05/06/1987;87-369;
projet de loi programme relatif à l'équipement militaire pour les années 1987-1991;projet de loi;05/11/1986;http://www.senat.fr/dossier-legislatif/a86870432.html;promulgué;;;22/05/1987;87-342;
projet de loi complétant la loi n° 46-1173 du 23 mai 1946 portant règlementation des conditions d'accès à la profession de coiffeur, en ce qui concerne les ressortissants des Etats membres de la Communauté Economique Européenne;projet de loi;24/07/1986;http://www.senat.fr/dossier-legislatif/s85860471.html;promulgué;;;22/05/1987;87-343;
proposition de loi tendant à modifier certaines dispositions relatives aux casinos autorisés;proposition de loi;04/12/1986;http://www.senat.fr/dossier-legislatif/a86870512.html;promulgué;;;05/05/1987;87-306;
projet de loi autorisant l'approbation d'un protocole modifiant la convention de Bruxelles du 29 novembre 1969 sur la responsabilité civile pour les dommages dus à la pollution par les hydrocarbures (ensemble une annexe);projet de loi;15/10/1986;http://www.senat.fr/dossier-legislatif/a86870402.html;promulgué;;;16/04/1987;87-272;
projet de loi autorisant l'approbation d'un protocole modifiant la convention de Bruxelles du 18 décembre 1971 portant création d'un Fonds international d'indemnisation pour les dommages dus à la pollution par les hydrocarbures;projet de loi;16/10/1986;http://www.senat.fr/dossier-legislatif/a86870403.html;promulgué;;;16/04/1987;87-273;
projet de loi portant diverses mesures d'ordre social;projet de loi;19/11/1986;http://www.senat.fr/dossier-legislatif/a86870483.html;promulgué;partiellement conforme;23/01/1987;27/01/1987;87-39;
projet de loi organique relatif aux magistrats de l'ordre judiciaire servant dans les organisations internationales;projet de loi organique;18/06/1986;http://www.senat.fr/dossier-legislatif/s85860411.html;promulgué;conforme;06/01/1987;09/01/1987;87-9;
proposition de loi relative à l'organisation régionale du tourisme;proposition de loi;12/08/1986;http://www.senat.fr/dossier-legislatif/s85860498.html;promulgué;;;03/01/1987;87-10;
projet de loi de programme relatif au développement des départements d'outre-mer, de Saint-Pierre-et-Miquelon et de Mayotte;projet de loi;16/10/1986;http://www.senat.fr/dossier-legislatif/s86870011.html;promulgué;;;31/12/1986;86-1383;
projet de loi relatif à l'organisation économique en agriculture;projet de loi;11/07/1986;http://www.senat.fr/dossier-legislatif/a85860260.html;promulgué;;;30/12/1986;86-1321;
projet de loi de finances rectificative de finances rectificative pour 1986;projet de loi de finances rectificative;20/11/1986;http://www.senat.fr/dossier-legislatif/a86870485.html;promulgué;partiellement conforme;29/12/1986;30/12/1986;86-1318;
projet de loi relatif au Conseil de prud'hommes;projet de loi;26/11/1986;http://www.senat.fr/dossier-legislatif/a86870495.html;promulgué;;;30/12/1986;86-1319;
projet de loi relatif aux procédures de licenciement;projet de loi;26/11/1986;http://www.senat.fr/dossier-legislatif/a86870496.html;promulgué;;;30/12/1986;86-1320;
projet de loi modifiant le code de procédure pénale et complétant la loi n° 86-1020 du 9 septembre 1986 relative à la lutte contre le terrorisme;projet de loi;17/12/1986;http://www.senat.fr/dossier-legislatif/a86870569.html;promulgué;;;30/12/1986;86-1322;
projet de loi de finances pour 1987;projet de loi de finances;02/10/1986;http://www.senat.fr/dossier-legislatif/pjlf1987.html;promulgué;partiellement conforme;29/12/1986;30/12/1986;86-1317;Budget, Économie et finances, fiscalité
projet de loi relatif à la famille;projet de loi;29/10/1986;http://www.senat.fr/dossier-legislatif/a86870427.html;promulgué;;;29/12/1986;86-1307;
proposition de loi portant adaptation du régime administratif et financier de la Ville de Paris;proposition de loi;07/10/1986;http://www.senat.fr/dossier-legislatif/s86870002.html;promulgué;;;29/12/1986;86-1308;
proposition de loi organique organique visant à rétablir à soixante-huit ans la limite d'âge des magistrats hors hiérarchie de la Cour de cassation;proposition de loi organique;27/05/1986;http://www.senat.fr/dossier-legislatif/a85860151.html;promulgué;conforme;22/12/1986;23/12/1986;86-1303;
proposition de loi relative à la limite d'âge et aux modalités de recrutement de certains fonctionnaires civils de l'État;proposition de loi;05/06/1986;http://www.senat.fr/dossier-legislatif/a85860169.html;promulgué;conforme;22/12/1986;23/12/1986;86-1304;
projet de loi tendant à favoriser l'investissement locatif et l'accession à la propriété de logements sociaux;projet de loi;26/06/1986;http://www.senat.fr/dossier-legislatif/a85860215.html;promulgué;;;23/12/1986;86-1290;
projet de loi relatif au renouvellement des baux commerciaux en 1987;projet de loi;19/11/1986;http://www.senat.fr/dossier-legislatif/a86870484.html;promulgué;;;23/12/1986;86-1291;
projet de loi autorisant la ratification d'une convention internationale sur la protection des artistes interprètes ou exécutants, des producteurs de phonogrammes et des organismes de radiodiffusion;projet de loi;20/02/1986;http://www.senat.fr/dossier-legislatif/s85860301.html;promulgué;;;23/12/1986;86-1300;
projet de loi autorisant l'approbation d'une convention entre le Gouvernement de la République française et le Gouvernement de l'Union des Républiques socialistes soviétiques, en vue d'éviter la double imposition des revenus (ensemble un protocole);projet de loi;02/04/1986;http://www.senat.fr/dossier-legislatif/s85860321.html;promulgué;;;23/12/1986;86-1295;
projet de loi autorisant l'approbation d'une convention entre le Gouvernement de la République française et le Gouvernement du Grand-Duché de Luxembourg pour la réalisation et l'exploitation de certaines implantations industrielles sur la Moselle;projet de loi;03/07/1986;http://www.senat.fr/dossier-legislatif/s85860434.html;promulgué;;;23/12/1986;86-1294;
projet de loi autorisant la ratification de l'avenant à la convention entre la République française et la République d'Autriche en vue d'éviter les doubles impositions et de prévoir une assistance réciproque dans le domaine des impôts sur le revenu et sur la fortune,;projet de loi;03/07/1986;http://www.senat.fr/dossier-legislatif/s85860435.html;promulgué;;;23/12/1986;86-1296;
projet de loi modifiant la loi n° 66-420 du 18 juin 1966 sur les contrats d'affrètement et de transport maritimes, modifiée par la loi n° 79-1103 du 21 décembre 1979;projet de loi;11/07/1986;http://www.senat.fr/dossier-legislatif/s85860453.html;promulgué;;;23/12/1986;86-1292;
projet de loi autorisant la ratification d'une convention européenne sur la violence et les débordements de spectateurs lors de manifestations sportives et notamment de matches de football;projet de loi;06/08/1986;http://www.senat.fr/dossier-legislatif/s85860493.html;promulgué;;;23/12/1986;86-1299;
projet de loi autorisant l'approbation d'une convention pour la sauvegarde du patrimoine architectural de l'Europe;projet de loi;06/08/1986;http://www.senat.fr/dossier-legislatif/s85860494.html;promulgué;;;23/12/1986;86-1298;
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République arabe du Yémen sur l'encouragement et la protection des investissements (ensemble deux échanges de lettres).;projet de loi;06/08/1986;http://www.senat.fr/dossier-legislatif/s85860495.html;promulgué;;;23/12/1986;86-1293;
projet de loi portant modification de la loi n° 51-711 du 7 juin 1951 sur l'obligation, la coordination et le secret en matière de statistiques;projet de loi;11/09/1986;http://www.senat.fr/dossier-legislatif/s85860530.html;promulgué;;;23/12/1986;86-1305;
projet de loi autorisant l'approbation d'un avenant modifiant la convention entre le Gouvernement de la République française et le Gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord tendant à éviter les doubles impositions et à prévenir l'évasion fisc;projet de loi;11/09/1986;http://www.senat.fr/dossier-legislatif/s85860531.html;promulgué;;;23/12/1986;86-1297;
projet de loi autorisant la ratification de l'Acte unique européen;projet de loi;02/10/1986;http://www.senat.fr/dossier-legislatif/a86870364.html;promulgué;;;16/12/1986;86-1275;
projet de loi modifiant la loi n° 67-5 du 3 janvier 1967 portant statut des navires et autres bâtiments de mer, modifiée par la loi n° 84-1151 du 21 décembre 1984;projet de loi;11/07/1986;http://www.senat.fr/dossier-legislatif/s85860450.html;promulgué;;;15/12/1986;86-1272;
projet de loi modifiant la loi du 17 décembre 1926 modifiée  portant code disciplinaire et pénal de la marine marchande;projet de loi;11/07/1986;http://www.senat.fr/dossier-legislatif/s85860451.html;promulgué;;;15/12/1986;86-1271;
projet de loi complétant la loi n° 86-897 du 1er août 1986 portant réforme du régime juridique de la presse et la loi n° 86-1067 du 30 septembre 1986 relative à la liberté de communication;projet de loi;02/10/1986;http://www.senat.fr/dossier-legislatif/a86870366.html;promulgué;;;27/11/1986;86-1210;
projet de loi relatif à la délimitation des circonscriptions pour l'élection des députés;projet de loi;08/10/1986;http://www.senat.fr/dossier-legislatif/a86870372.html;promulgué;conforme;18/11/1986;24/11/1986;86-1197;
projet de loi modifiant la loi n° 82-471 du 7 juin 1982 relative au conseil supérieur des Français de l'étranger;projet de loi;25/06/1986;http://www.senat.fr/dossier-legislatif/s85860419.html;promulgué;;;15/10/1986;86-1115;
projet de loi relatif à la liberté de communication;projet de loi;11/06/1986;http://www.senat.fr/dossier-legislatif/s85860402.html;promulgué;partiellement conforme;18/09/1986;30/09/1986;86-1067;
projet de loi relatif à la lutte contre la criminalité et la délinquance;projet de loi;28/05/1986;http://www.senat.fr/dossier-legislatif/a85860153.html;promulgué;conforme;03/09/1986;09/09/1986;86-1019;
projet de loi relatif à la lutte contre le terrorisme et aux atteintes à la sûreté de l'Etat;projet de loi;28/05/1986;http://www.senat.fr/dossier-legislatif/a85860155.html;promulgué;partiellement conforme;03/09/1986;09/09/1986;86-1020;
projet de loi relatif à l'application des peines;projet de loi;28/05/1986;http://www.senat.fr/dossier-legislatif/a85860156.html;promulgué;conforme;03/09/1986;09/09/1986;86-1021;
projet de loi relatif aux conditions d'entrée et de séjour des étrangers en France;projet de loi;12/06/1986;http://www.senat.fr/dossier-legislatif/a85860200.html;promulgué;partiellement conforme;03/09/1986;09/09/1986;86-1025;
projet de loi relatif aux contrôles et vérifications d'identité;projet de loi;28/05/1986;http://www.senat.fr/dossier-legislatif/a85860154.html;promulgué;conforme;26/08/1986;03/09/1986;86-1004;
projet de loi portant dispositions diverses relatives aux collectivités locales;projet de loi;26/06/1986;http://www.senat.fr/dossier-legislatif/s85860423.html;promulgué;;;19/08/1986;86-972;
projet de loi portant diverses mesures relatives au financement des retraites et pensions;projet de loi;11/07/1986;http://www.senat.fr/dossier-legislatif/a85860259.html;promulgué;;;18/08/1986;86-966;
projet de loi organique relatif au régime électoral de la collectivité territoriale de Saint-Pierre-et-Miquelon;projet de loi organique;12/06/1986;http://www.senat.fr/dossier-legislatif/s85860406.html;promulgué;;12/08/1986;13/08/1986;86-957;
projet de loi relatif au régime électoral de la collectivité territoriale de Saint-Pierre-et-Miquelon;projet de loi;12/06/1986;http://www.senat.fr/dossier-legislatif/s85860407.html;promulgué;conforme;12/08/1986;13/08/1986;86-958;
projet de loi relatif aux modalités d'application des privatisations décidées par la loi n° 86-793 du 2 juillet 1986 autorisant le Gouvernement à prendre diverses mesures d'ordre économique et social;projet de loi;23/07/1986;http://www.senat.fr/dossier-legislatif/a85860297.html;promulgué;;;06/08/1986;86-912;
proposition de loi portant réforme du régime juridique de la presse;proposition de loi;29/11/1985;http://www.senat.fr/dossier-legislatif/s85860122.html;promulgué;partiellement conforme;29/07/1986;01/08/1986;86-897;
projet de loi autorisant l'approbation d'un Protocole d'Entente relatif à la protection sociale des étudiants et des participants à la coopération entre le Gouvernement de la République française et le Gouvernement du Québec;projet de loi;18/06/1986;http://www.senat.fr/dossier-legislatif/a85860203.html;promulgué;;;22/07/1986;86-855;
proposition de loi tendant à modifier la durée ou la date d'application de certaines règles concernant le code de l'urbanisme;proposition de loi;26/06/1986;http://www.senat.fr/dossier-legislatif/a85860216.html;promulgué;;;17/07/1986;86-841;
projet de loi relatif aux principes généraux du droit du travail et à l'organisation et au fonctionnement de l'Inspection du travail et des tribunaux du travail en Polynésie française;projet de loi;11/12/1985;http://www.senat.fr/dossier-legislatif/s85860187.html;promulgué;;;17/07/1986;86-845;
projet de loi relatif à la Nouvelle-Calédonie;projet de loi;21/05/1986;http://www.senat.fr/dossier-legislatif/s85860386.html;promulgué;;;17/07/1986;86-844;
projet de loi relatif à l'élection des députés et autorisant le Gouvernement à délimiter par ordonnance les circonscriptions électorales;projet de loi;09/04/1986;http://www.senat.fr/dossier-legislatif/a85860008.html;promulgué;conforme;02/07/1986;11/07/1986;86-825;
projet de loi de finances rectificative de finances rectificative pour 1986;projet de loi de finances rectificative;22/04/1986;http://www.senat.fr/dossier-legislatif/a85860009.html;promulgué;partiellement conforme;03/07/1986;11/07/1986;86-824;
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement de la République populaire du Bangladesh sur l'encouragement et la protection réciproques des investissements;projet de loi;18/12/1985;http://www.senat.fr/dossier-legislatif/s85860245.html;promulgué;;;11/07/1986;86-828;
projet de loi relatif à la recherche scientifique marine et portant modification de la loi n° 76-655 du 16 juillet 1976 relative à la zone économique au large des côtes du territoire de la République;projet de loi;24/12/1985;http://www.senat.fr/dossier-legislatif/s85860285.html;promulgué;;;11/07/1986;86-826;
proposition de loi tendant à abroger l'article 21 de la loi n° 86-76 du 17 janvier 1986 portant diverses dispositions d'ordre social;proposition de loi;21/03/1986;http://www.senat.fr/dossier-legislatif/s85860317.html;promulgué;;;11/07/1986;86-827;
projet de loi autorisant l'approbation de la convention d'assistance administrative mutuelle entre le Gouvernement de la République française et le Gouvernement de la République algérienne démocratique et populaire visant la prévention, la recherche et la répression d;projet de loi;02/04/1986;http://www.senat.fr/dossier-legislatif/s85860324.html;promulgué;;;11/07/1986;86-829;
projet de loi relatif à la suppression de l'autorisation administrative de licenciement;projet de loi;14/05/1986;http://www.senat.fr/dossier-legislatif/a85860109.html;promulgué;;;03/07/1986;86-797;
projet de loi autorisant l'approbation d'un accord sous forme d'échange de lettres entre le Gouvernement de la République française et le Gouvernement de son Altesse Sérénissime le Prince de Monaco, relatif aux privilèges et immunités de l'Agence internationale de l'é;projet de loi;02/04/1986;http://www.senat.fr/dossier-legislatif/s85860320.html;promulgué;;;03/07/1986;86-799;
projet de loi autorisant la ratification du protocole portant modification de la convention internationale pour l'unification de certaines règles en matière de connaissement du 25 août 1924, telle qu'amendée par le protocole de modification du 23 février 1968, fait à;projet de loi;02/04/1986;http://www.senat.fr/dossier-legislatif/s85860322.html;promulgué;;;03/07/1986;86-798;
projet de loi autorisant le Gouvernement à prendre diverses mesures d'ordre économique et social;projet de loi;09/04/1986;http://www.senat.fr/dossier-legislatif/a85860007.html;promulgué;conforme;26/06/1986;02/07/1986;86-793;
projet de loi modifiant le code du travail et relatif à la négociation collective sur l'aménagement du temps de travail;projet de loi;20/11/1985;http://www.senat.fr/dossier-legislatif/a85863096.html;promulgué;;;28/02/1986;86-280;
projet de loi de règlement portant règlement définitif du budget de 1983;projet de loi de règlement;04/12/1985;http://www.senat.fr/dossier-legislatif/a85863152.html;promulgué;;;20/01/1986;86-94;
projet de loi portant modification de l'ordonnance n° 82-290 du 30 mars 1982 et de la loi n° 84-575 du 9 juillet 1984 relatif à la limitation des possibilités de cumul entre pensions de retraite et revenus d'activité;projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/a85862955.html;promulgué;;;17/01/1986;86-75;
projet de loi portant diverses dispositions d'ordre social;projet de loi;20/11/1985;http://www.senat.fr/dossier-legislatif/a85863097.html;promulgué;partiellement conforme;16/01/1986;17/01/1986;86-76;
projet de loi portant dispositions statutaires relatives à la fonction publique hospitalière;projet de loi;30/05/1985;http://www.senat.fr/dossier-legislatif/a84852733.html;promulgué;;;09/01/1986;86-33;
projet de loi portant dispositions diverses relatives aux collectivités locales;projet de loi;31/10/1985;http://www.senat.fr/dossier-legislatif/a85863023.html;promulgué;;;09/01/1986;86-29;
projet de loi relatif aux sociétés d'attribution d'immeubles en jouissance a temps partage;projet de loi;02/04/1985;http://www.senat.fr/dossier-legislatif/a84852589.html;promulgué;;;06/01/1986;86-18;
projet de loi relatif à l'organisation des régions et portant modification de dispositions relatives au fonctionnement des Conseils généraux;projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/a85862956.html;promulgué;;;06/01/1986;86-16;
projet de loi adaptant la législation sanitaire et sociale aux transferts de compétences en matière d'aide sociale et de santé;projet de loi;31/10/1985;http://www.senat.fr/dossier-legislatif/a85863025.html;promulgué;;;06/01/1986;86-17;
projet de loi relatif au renouvellement des baux commerciaux, au crédit-bail sur fonds de commerce et établissements artisanaux et à l'évolution de certains loyers immobiliers;projet de loi;06/11/1985;http://www.senat.fr/dossier-legislatif/a85863037.html;promulgué;;;06/01/1986;86-12;
projet de loi relatif à l'abaissement à soixante ans de l'âge de la retraite des personnes non salariées des professions agricoles;projet de loi;06/11/1985;http://www.senat.fr/dossier-legislatif/a85863038.html;promulgué;;;06/01/1986;86-19;
projet de loi fixant les règles garantissant l'indépendance des membres des tribunaux administratifs;projet de loi;14/11/1985;http://www.senat.fr/dossier-legislatif/a85863059.html;promulgué;;;06/01/1986;86-14;
projet de loi relatif à l'aide médicale urgente et aux transports sanitaires;projet de loi;23/05/1985;http://www.senat.fr/dossier-legislatif/s84850307.html;promulgué;;;06/01/1986;86-11;
projet de loi relatif à diverses simplifications administratives en matière d'urbanisme et à diverses dispositions concernant le bâtiment;projet de loi;08/10/1985;http://www.senat.fr/dossier-legislatif/s85860012.html;promulgué;;;06/01/1986;86-13;
projet de loi relatif à l'aménagement, la protection et la mise en valeur du littoral;projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/a85862947.html;promulgué;;;03/01/1986;86-2;
projet de loi relatif au droit d'expression des salariés et portant modification du code du travail;projet de loi;30/10/1985;http://www.senat.fr/dossier-legislatif/a85863015.html;promulgué;;;03/01/1986;86-1;
proposition de loi modifiant la loi n° 65-557 du 10 juillet 1965 fixant le statut de la copropriété des immeubles batis;proposition de loi;22/11/1984;http://www.senat.fr/dossier-legislatif/a84852455.html;promulgué;;;31/12/1985;85-1470;
projet de loi autorisant l'approbation de l'avenant à l'entente entre le Gouvernement de la République française et le Gouvernement du Québec en matière de sécurité sociale du 12 février 1979;projet de loi;30/05/1985;http://www.senat.fr/dossier-legislatif/a84852729.html;promulgué;;;31/12/1985;85-1473;
projet de loi autorisant l'approbation d'une Convention de sécurité sociale entre le Gouvernement de la République française et le Gouvernement de la République de Côte-d'Ivoire (ensemble deux Protocoles);projet de loi;30/05/1985;http://www.senat.fr/dossier-legislatif/a84852730.html;promulgué;;;31/12/1985;85-1477;
projet de loi autorisant la ratification du Protocole n° 6 à la convention de sauvegarde des Droits de l'Homme et des libertés fondamentales concernant l'abolition de la peine de mort;projet de loi;30/05/1985;http://www.senat.fr/dossier-legislatif/a84852732.html;promulgué;conforme;22/05/1985;31/12/1985;85-1485;
projet de loi relatif à la composition et aux attributions des conseils de l'Education Nationale siégeant en formation contentieuse et disciplinaire, modifiant les lois n° 46-1084 du 18 mai 1946 et n° 64-1325 du 26 décembre 1964, relatives au Conseil supérieur de l'éd;projet de loi;14/06/1985;http://www.senat.fr/dossier-legislatif/a84852788.html;promulgué;;;31/12/1985;85-1469;
projet de loi autorisant la ratification du Protocole n° 7 à la Convention de sauvegarde des Droits de l'homme et des Libertés fondamentales;projet de loi;18/06/1985;http://www.senat.fr/dossier-legislatif/a84852790.html;promulgué;;;31/12/1985;85-1475;
projet de loi relatif à la répartition de l'indemnité versée par la République populaire du Bénin en application de l'Accord du 7 janvier 1984;projet de loi;26/06/1985;http://www.senat.fr/dossier-legislatif/a84852856.html;promulgué;;;31/12/1985;85-1481;
projet de loi autorisant l'approbation d'un accord constitutif de la société interaméricaine d'investissement (ensemble une annexe);projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/a85862948.html;promulgué;;;31/12/1985;85-1479;
projet de loi autorisant l'approbation d'un accord de coopération en matière économique et financière entre le Gouvernement de la République française et le Gouvernement de la République gabonaise;projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/a85862949.html;promulgué;;;31/12/1985;85-1483;
projet de loi autorisant l'approbation du code européen de sécurité sociale fait à Strasbourg le 16 avril 1964;projet de loi;11/10/1985;http://www.senat.fr/dossier-legislatif/a85862996.html;promulgué;;;31/12/1985;85-1480;
projet de loi relatif à l'aménagement foncier rural;projet de loi;24/10/1985;http://www.senat.fr/dossier-legislatif/a85863008.html;promulgué;;;31/12/1985;85-1496;
projet de loi autorisant l'approbation d'un accord concernant la coopération en matière de lutte contre la pollution de la mer du Nord par les hydrocarbures et autres substances dangereuses (ensemble une annexe);projet de loi;30/10/1985;http://www.senat.fr/dossier-legislatif/a85863016.html;promulgué;;;31/12/1985;85-1476;
projet de loi portant amnistie relative à la Nouvelle-Calédonie et dépendances;projet de loi;14/11/1985;http://www.senat.fr/dossier-legislatif/a85863061.html;promulgué;;;31/12/1985;85-1467;
projet de loi relatif à la sectorisation psychiatrique;projet de loi;20/11/1985;http://www.senat.fr/dossier-legislatif/a85863098.html;promulgué;;;31/12/1985;85-1468;
projet de loi autorisant la ratification de la convention européenne d'extradition;projet de loi;20/11/1985;http://www.senat.fr/dossier-legislatif/a85863100.html;promulgué;;;31/12/1985;85-1478;
projet de loi autorisant l'approbation d'un accord de siège entre le Gouvernement de la République française et l'Organisation européenne de télécommunications par satellite (EUTELSAT);projet de loi;27/11/1985;http://www.senat.fr/dossier-legislatif/a85863117.html;promulgué;;;31/12/1985;85-1471;
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Conseil fédéral suisse relatif au raccordement des autoroutes entre Saint-Julien-en-Génévois (Haute-Savoie) et Bardonnex (Genève) (ensemble une annexe);projet de loi;23/05/1985;http://www.senat.fr/dossier-legislatif/s84850306.html;promulgué;;;31/12/1985;85-1484;
projet de loi autorisant la ratification de la convention relative à l'adhésion de la République hellénique à la convention sur la loi applicable aux obligations contractuelles ouvertes à la signature à Rome le 19 juin 1980;projet de loi;17/07/1985;http://www.senat.fr/dossier-legislatif/s84850457.html;promulgué;;;31/12/1985;85-1472;
projet de loi autorisant l'approbation de l'Accord sur la coopération culturelle, scientifique et technique entre le Gouvernement de la République française et le Gouvernement de Sa Majesté le Roi du Népal;projet de loi;29/08/1985;http://www.senat.fr/dossier-legislatif/s84850480.html;promulgué;;;31/12/1985;85-1474;
projet de loi autorisant l'approbation d'un avenant à la convention fiscale entre le Gouvernement de la République française et le Gouvernement de la République de Côte d'Ivoire tendant à éviter les doubles impositions et à établir des règles d'assistance réciproque e;projet de loi;02/10/1985;http://www.senat.fr/dossier-legislatif/s85860003.html;promulgué;;;31/12/1985;85-1482;
projet de loi relatif à la simplification des procédures et à l'exécution des décisions pénales;projet de loi;23/05/1985;http://www.senat.fr/dossier-legislatif/a84852695.html;promulgué;;;30/12/1985;85-1407;
projet de loi portant amélioration de la concurrence;projet de loi;14/06/1985;http://www.senat.fr/dossier-legislatif/a84852787.html;promulgué;conforme;28/12/1985;30/12/1985;85-1408;
