Session;Numéro de texte;Date de dépôt;Auteurs;Titre;Type de dossier;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
1977;267;"16/02/1978";"René TINANT";"proposition de loi tendant à doter la Nouvelle-Calédonie et dépendances d'un nouveau statut";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-267.html";"caduc";"";"";"";"";"Outre-mer"
1977;268;"21/02/1978";"Rolande PERLICAN, Pierre GAMBOA, Marcel GARGAR, Hector VIRON";"proposition de loi tendant à étendre le régime d'assurance chômage aux employés de maison et à améliorer leur situation au regard de la Sécurité sociale";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-268.html";"caduc";"";"";"";"";"Questions sociales et santé, Sécurité sociale"
1977;269;"21/02/1978";"Marie-Thérèse GOUTMANN, Rolande PERLICAN, Pierre GAMBOA, Marcel GARGAR, Hector VIRON";"proposition de loi tendant à assurer une meilleure organisation de la profession d'aide ménagère en vue de favoriser le maintien à domicile des personnes âgées et des personnes handicapées";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-269.html";"caduc";"";"";"";"";"Questions sociales et santé"
1977;270;"21/02/1978";"Marie-Thérèse GOUTMANN, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Gérard EHLERS, Léandre LETOQUART";"proposition de loi tendant à instaurer un impôt sur la fortune des personnes physiques";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-270.html";"caduc";"";"";"";"";"Économie et finances, fiscalité"
1977;271;"21/02/1978";"Marie-Thérèse GOUTMANN, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Gérard EHLERS, Léandre LETOQUART";"proposition de loi tendant à instaurer un impôt sur le capital des sociétés";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-271.html";"caduc";"";"";"";"";"Économie et finances, fiscalité"
1977;272;"21/02/1978";"Fernand CHATELAIN, James MARSON, Bernard Michel HUGO, Hélène LUC";"proposition de loi tendant à assurer l'accès du public aux documents administratifs et l'information des consommateurs";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-272.html";"caduc";"";"";"";"";"Pouvoirs publics et Constitution"
1977;274;"24/02/1978";"Charles de CUTTOLI, Pierre CROZE, Jacques HABERT, Paul D'ORNANO, Jean-Pierre CANTEGRIT, Frédéric WIRTH";"proposition de loi tendant à compléter la loi n° 73-42 du 9 janvier 1973 complétant et modifiant le code de la nationalité française et relative à certaines dispositions concernant la nationalité française";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-274.html";"caduc";"";"";"";"";"Pouvoirs publics et Constitution, Société"
1977;276;"09/03/1978";"Charles de CUTTOLI";"proposition de loi tendant à améliorer la condition des nomades et forains";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-276.html";"caduc";"";"";"";"";"PME, commerce et artisanat"
1977;284;"03/04/1978";"Etienne DAILLY";"proposition de loi organique tendant à abroger certaines dispositions de l'article 9 de l'ordonnance no 58-1270 du 22 décembre 1958 portant loi organique relative au statut de la magistrature";"proposition de loi organique";"http://www.senat.fr/dossier-legislatif/s77780284.html";"caduc";"";"";"";"";""
1977;285;"03/04/1978";"Etienne DAILLY";"proposition de loi tendant à modifier ou abroger certaines dispositions du code électoral et du code du service national";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780285.html";"caduc";"";"";"";"";""
1977;288;"03/04/1978";"Jacques THYRAUD";"proposition de loi tendant à actualiser les dispositions du code civil sur la preuve testimoniale";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780288.html";"promulgué";"";"";"12/07/1980";"80-525";""
1977;289;"03/04/1978";"Etienne DAILLY";"proposition de loi relative à la composition du Conseil d'administration de certaines sociétés anonymes d'économie mixte";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780289.html";"caduc";"";"";"";"";""
1977;292;"06/04/1978";"Félix CICCOLINI, Marcel CHAMPEIX, Georges DAYAN, Jean GEOFFROY, Léopold HEDER, Jean NAYROU, Irma RAPUZZI, Edgar TAILHADES, Charles ALLIES, Antoine ANDRIEUX, Raymond COURRIÈRE, Bernard CHOCHOY, Georges DAGONIA, Michel DARRAS, Emile DURIEUX, Maurice JANETTI, Tony LARUE, Gérard MINVIELLE, Jean PERIDIER, Jean-Jacques PERRON, Albert PEN, Edouard SOLDANI, Marcel SOUQUET";"proposition de loi instituant le délit de pollution";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780292.html";"caduc";"";"";"";"";""
1977;295;"06/04/1978";"Michel SORDEL, Raymond BOUVIER, Rémi HERMENT, Pierre JOURDAN, Pierre LABONDE, Marcel LUCOTTE, Jacques MENARD, André PICARD, Raoul VADEPIED";"proposition de loi modifiant diverses dispositions du Livre V du Code de la santé publique et relative à la pharmacie vétérinaire";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780295.html";"promulgué";"";"";"03/12/1982";"82-1019";""
1977;299;"06/04/1978";"Gustave HEON, Etienne DAILLY, Jean GRAVIER, Pierre LABONDE, Jacques PELLETIER";"proposition de loi tendant à élargir les conditions de saisine du médiateur";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780299.html";"caduc";"";"";"";"";""
1977;301;"06/04/1978";"Henri CAILLAVET";"proposition de loi relative au droit de vivre sa mort";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780301.html";"non adopté";"";"";"";"";""
1977;305;"13/04/1978";"Henri CAILLAVET";"proposition de loi tendant à modifier le code électoral et le code des communes en vue d'instituer le scrutin proportionnel plurinominal à un tour pour l'élection des conseillers municipaux dans les villes de plus de 30000 habitants";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780305.html";"caduc";"";"";"";"";""
1977;316;"14/04/1978";"Jean CAUCHON, Francis PALMERO, Jean CLUZEL, Jean-Pierre BLANC, Jean-Marie BOULOUX, Jean COLIN, Henri GOETSCHY, Louis ORVOEN, Roger POUDONSON, Jean-Marie RAUSCH, Pierre SCHIELE";"proposition de loi tendant à modifier le taux de la pension de réversion attribuée aux conjoints survivants en application des dispositions du code de la sécurité sociale";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780316.html";"caduc";"";"";"";"";""
1977;317;"14/04/1978";"Jean CAUCHON, Francis PALMERO, Jean CLUZEL, Jean-Pierre BLANC, Jean-Marie BOULOUX, Jean COLIN, Henri GOETSCHY, Louis ORVOEN, Roger POUDONSON, Jean-Marie RAUSCH, Pierre SCHIELE";"proposition de loi tendant à modifier le taux de la pension de réversion attribuée aux conjoints survivants des agents de la fonction publique, en application du code des pensions civiles et militaires de retraite";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780317.html";"caduc";"";"";"";"";""
1977;319;"18/04/1978";"Henri CAILLAVET";"proposition de loi constitutionnelle tendant à modifier l'article 65 de la Constitution";"proposition de loi constitutionnelle";"http://www.senat.fr/dossier-legislatif/s77780319.html";"caduc";"";"";"";"";""
